extras_10uid_bi_strs,extras_title_en_txts,extras_pkuniqueidcode_bi_strs,extras_statusf_en_strs,Load to OLC,extras_productidnew_bi_strs,
primary127557,"Total Income, Individuals",publication93-114-x_12,Do not load to OLC,Do not load to OLC,93-114-X,
primary126796,"Industrial Monitor - 1 Inch Binder with Tabs, Glossary, Introduction and Directory",issue15f0012x1994001_12,Completed,Do not load to OLC,15F0012X1994001,
primary128092,Sentencing in Adult Provincial Courts. A Study of Nine Jurisdictions: 1993 and 1994,publication85-513-x_12,Discontinued/Not available,Do not load to OLC,85-513-X,
primary130006,Policing in Canada,publication85-523-x_12,Discontinued/Not available,Do not load to OLC,85-523-X,
primary127643,Selected Police Administration Characteristics of Municipal Police Departments,publication85f0016x_12,Discontinued/Not available,Do not load to OLC,85F0016X,
primary127587,"Profile of Courts in Canada, 1997",publication85-511-x_12,Discontinued/Not available,Do not load to OLC,85-511-X,
primary133377,Canadians on the Move,publication96-309-x_12,Discontinued/Not available,Do not load to OLC,96-309-X,
primary124893,Working smarter,article75-001-x20020046384_12,,Do not load to OLC,75-001-X20020046384,
primary124860,Fact-sheet on gambling,article75-001-x20011025729_12,,Do not load to OLC,75-001-X20011025729,
primary125562,Fact-sheet on work absences,article75-001-x200410313114_12,,Do not load to OLC,75-001-X200410313114,
primary124840,Computer programmers,article75-001-x19980033942_12,,Do not load to OLC,75-001-X19980033942,
primary124918,Taking stock of equity compensation,article75-001-x20030026489_12,,Do not load to OLC,75-001-X20030026489,
primary124863,Fact-sheet on unionization,article75-001-x20011035885_12,,Do not load to OLC,75-001-X20011035885,
primary136167,Census Tracts. Québec,publication95-141-x_12,Do not load to OLC,Do not load to OLC,95-141-X,
primary136162,Census Handbook,publication99-104-x_12,Do not load to OLC,Do not load to OLC,99-104-X,
primary136174,Census Tracts. Sarnia,publication95-152-x_12,Do not load to OLC,Do not load to OLC,95-152-X,
primary136664,Trends in Occupation and Industry,publication98-135-x_12,Do not load to OLC,Do not load to OLC,98-135-X,
primary136662,Educational Attainment of Canadians,publication98-134-x_12,Do not load to OLC,Do not load to OLC,98-134-X,
primary125428,Canada's Farm Population,publication98-133-x_12,Do not load to OLC,Do not load to OLC,98-133-X,
primary123018,1986 Census of Population: User's Guide to 1986 Census Data on Data Quality - Sampling,publication99-136-x_12,Do not load to OLC,Do not load to OLC,99-136-X,
primary122158,"Equivalent Enumeration Areas, 1986 and 1981",publication99-127-x_12,Do not load to OLC,Do not load to OLC,99-127-X,
primary127808,"Demographic and Income Statistics for Postal Areas, Atlantic Provinces",publication17-203-x_12,Do not load to OLC,Do not load to OLC,17-203-X,
primary133944,1986 CENSUS USER GUIDES - Mobility,publication99-108-x_12,Do not load to OLC,Do not load to OLC,99-108-X,
primary125333,XV User's Manual,publication75f0012g_12,Do not load to OLC,Do not load to OLC,75F0012G,
primary125059,Federal Electoral Districts and Census Enumeration Areas,publication92-103-x_12,Do not load to OLC,Do not load to OLC,92-103-X,
primary129142,Survey of Volunteer Activity - Microdata User's Guide,publication89m0011g_12,Do not load to OLC,Do not load to OLC,89M0011G,
primary125558,Word Division in French: A Working Manual to Assist in the Preparation of Written Copy in the French Language,publication12-601-x_12,Do not load to OLC,Do not load to OLC,12-601-X,
primary124072,Guide to Managing Statistics Canada Publications in Libraries,publication11-208-u_12,Do not load to OLC,Do not load to OLC,11-208-U,
primary127662,Family Income: Census Families,publication93-117-x_12,Do not load to OLC,Do not load to OLC,93-117-X,
primary127659,Dictionary,publication99-101-x_12,Do not load to OLC,Do not load to OLC,99-101-X,
primary133389,"Usage of Fertilizer Materials, 1984",publication46-504-x_12,Do not load to OLC,Do not load to OLC,46-504-X,
primary128096,Place Name Reference Lists,publication92-121-x_12,Do not load to OLC,Do not load to OLC,92-121-X,
primary130569,Census Tracts. Regina,publication95-144-x_12,Do not load to OLC,Do not load to OLC,95-144-X,
primary125348,Mobility Status and Interprovincial Migration,publication93-108-x_12,Do not load to OLC,Do not load to OLC,93-108-X,
primary125344,"Families, Part 1",publication93-106-x_12,Do not load to OLC,Do not load to OLC,93-106-X,
primary125402,Language Retention and Transfer,publication93-153-x_12,Do not load to OLC,Do not load to OLC,93-153-X,
primary125939,Household Income: Private Households,publication93-119-x_12,Do not load to OLC,Do not load to OLC,93-119-X,
primary126046,Profile of the Immigrant Population,publication93-155-x_12,Do not load to OLC,Do not load to OLC,93-155-X,
primary126795,"Industrial Monitor - 2 Inch Binder with Tabs, Glossary, Introduction and Directory",issue15f0011x1994001_12,Completed,Do not load to OLC,15F0011X1994001,
primary127814,"Demographic and Income Statistics for Postal Areas, Western Provinces and the Territories",publication17-206-x_12,Do not load to OLC,Do not load to OLC,17-206-X,
primary127812,"Demographic and Income Statistics for Postal Areas, Ontario",publication17-205-x_12,Do not load to OLC,Do not load to OLC,17-205-X,
primary133226,Female Baby Boomers: A Generation at Work (Focus on Canada Series: Analytical Products: 1991 Census of Population),publication96-315-x_12,Discontinued/Not available,Do not load to OLC,96-315-X,
primary127949,Canada's Unionized Workers,publication71-214-x_12,Discontinued/Not available,Do not load to OLC,71-214-X,
primary124858,Experiencing low income for several years,article75-001-x20011025726_12,,Do not load to OLC,75-001-X20011025726,
primary124862,Employment and earnings of postsecondary graduates,article75-001-x20011035884_12,,Do not load to OLC,75-001-X20011035884,
primary124940,Taking stock of equity compensation,article75-001-x200310313086_12,,Do not load to OLC,75-001-X200310313086,
primary124834,The labour market: Year-end review,article75-001-x19940014614_12,,Do not load to OLC,75-001-X19940014614,
primary124937,2000 income: an overview,article75-001-x200310113083_12,,Do not load to OLC,75-001-X200310113083,
primary123077,"The decline of real family income, 1980 to 1984",article11-008-x19860031320_12,,Do not load to OLC,11-008-X19860031320,
primary123272,Measuring low incomes in Canada,article11-008-x19920011383_12,,Do not load to OLC,11-008-X19920011383,
primary123156,Women in professional occupations: Progress in the 1980s,article11-008-x19880041223_12,,Do not load to OLC,11-008-X19880041223,
primary123355,"Housing tenure trends, 1951 to 1991",article11-008-x19940042758_12,,Do not load to OLC,11-008-X19940042758,
primary123344,Fire!,article11-008-x19940021411_12,,Do not load to OLC,11-008-X19940021411,
primary123239,Educational attainment of linguistic groups in Canada,article11-008-x19900041267_12,,Do not load to OLC,11-008-X19900041267,
primary123154,Private transportation,article11-008-x19880041221_12,,Do not load to OLC,11-008-X19880041221,
primary123356,Housing affordability problems among renters,article11-008-x19940042759_12,,Do not load to OLC,11-008-X19940042759,
primary123196,Shelter costs,article11-008-x19890041255_12,,Do not load to OLC,11-008-X19890041255,
primary123121,The help-wanted index,article11-008-x19870041361_12,,Do not load to OLC,11-008-X19870041361,
primary123434,Canadian attitudes to divorce,article11-008-x19970043553_12,,Do not load to OLC,11-008-X19970043553,
primary123358,Working mothers,article11-008-x19940042761_12,,Do not load to OLC,11-008-X19940042761,
primary123232,Performing arts,article11-008-x19900031252_12,,Do not load to OLC,11-008-X19900031252,
primary123295,Women in the workplace,article11-008-x19920041296_12,,Do not load to OLC,11-008-X19920041296,
primary123421,"Attitudes toward women, work and family",article11-008-x19970023180_12,,Do not load to OLC,11-008-X19970023180,
primary123428,Moving in together: The formation of first common-law unions,article11-008-x19970033393_12,,Do not load to OLC,11-008-X19970033393,
primary123367,Their own boss: The self-employed in Canada,article11-008-x19950012358_12,,Do not load to OLC,11-008-X19950012358,
primary123429,I feel overqualified for my job...,article11-008-x19970033394_12,,Do not load to OLC,11-008-X19970033394,
primary123171,Marrying and divorcing: A status report for Canada,article11-008-x19890011200_12,,Do not load to OLC,11-008-X19890011200,
primary123135,Changes in fertility among Canada's linguistic groups,article11-008-x19880021174_12,,Do not load to OLC,11-008-X19880021174,
primary123101,Tying the knot: An overview of marriage rates in Canada,article11-008-x19870021166_12,,Do not load to OLC,11-008-X19870021166,
primary123098,Annual review of labour force trends,article11-008-x19870011331_12,,Do not load to OLC,11-008-X19870011331,
primary123311,School leavers,article11-008-x19930021289_12,,Do not load to OLC,11-008-X19930021289,
primary123148,The decline of unpaid family work,article11-008-x19880031186_12,,Do not load to OLC,11-008-X19880031186,
primary123104,Interregional migration of the Canadian population,article11-008-x19870021169_12,,Do not load to OLC,11-008-X19870021169,
primary123330,Traditional-earner families,article11-008-x19930041423_12,,Do not load to OLC,11-008-X19930041423,
primary123334,"Marriage in Canada: Changing beliefs and behaviors, 1600 to 1990",article11-008-x19940011402_12,,Do not load to OLC,11-008-X19940011402,
primary123089,"Migration between Atlantic Canada and Ontario, 1951-1985",article11-008-x19860041346_12,,Do not load to OLC,11-008-X19860041346,
primary123243,Canada's children,article11-008-x19910011364_12,,Do not load to OLC,11-008-X19910011364,
primary123231,Reading skills,article11-008-x19900031251_12,,Do not load to OLC,11-008-X19900031251,
primary123083,Low income in Canada,article11-008-x19860041340_12,,Do not load to OLC,11-008-X19860041340,
primary123376,"Trends in mortality from smoking-related cancers, 1950 to 1991",article11-008-x19950032476_12,,Do not load to OLC,11-008-X19950032476,
primary123297,Unemployment insurance in Canada,article11-008-x19920041298_12,,Do not load to OLC,11-008-X19920041298,
primary123331,Two by two? Sex ratios of unattached Canadians,article11-008-x19930041424_12,,Do not load to OLC,11-008-X19930041424,
primary123279,Canadians on the move,article11-008-x19920011390_12,,Do not load to OLC,11-008-X19920011390,
primary123219,Labour force trends: Two decades in review,article11-008-x19900021240_12,,Do not load to OLC,11-008-X19900021240,
primary123111,Urban Canada,article11-008-x19870031335_12,,Do not load to OLC,11-008-X19870031335,
primary123159,Dual-earner families: The new norm,article11-008-x19880041226_12,,Do not load to OLC,11-008-X19880041226,
primary123201,Regional unemployment,article11-008-x19890041260_12,,Do not load to OLC,11-008-X19890041260,
primary123129,Annual update on labour force trends,article11-008-x19880011352_12,,Do not load to OLC,11-008-X19880011352,
primary123142,Female lone parenthood: The duration of episodes,article11-008-x19880021181_12,,Do not load to OLC,11-008-X19880021181,
primary123165,Eating out,article11-008-x19890011194_12,,Do not load to OLC,11-008-X19890011194,
primary123222,People in co-operative housing,article11-008-x19900021243_12,,Do not load to OLC,11-008-X19900021243,
primary123195,Home ownership,article11-008-x19890041254_12,,Do not load to OLC,11-008-X19890041254,
primary123088,"Low educational attainment in Canada, 1975 to 1985",article11-008-x19860041345_12,,Do not load to OLC,11-008-X19860041345,
primary123220,Changes in women's occupations,article11-008-x19900021241_12,,Do not load to OLC,11-008-X19900021241,
primary123055,Families: Diversity the new norm,article11-008-x19860011309_12,,Do not load to OLC,11-008-X19860011309,
primary123402,Who gives to charity,article11-008-x19960032869_12,,Do not load to OLC,11-008-X19960032869,
primary123141,Common-law unions: Nearly half a million in 1986,article11-008-x19880021180_12,,Do not load to OLC,11-008-X19880021180,
primary123257,Changing occupational structure,article11-008-x19910031376_12,,Do not load to OLC,11-008-X19910031376,
primary123223,Decline in the number of children,article11-008-x19900021244_12,,Do not load to OLC,11-008-X19900021244,
primary123305,%changes in family wealth%,article11-008-x19930011284_12,,Do not load to OLC,11-008-X19930011284,
primary123090,A profile of employed migrants between Atlantic Canada and Ontario,article11-008-x19860041347_12,,Do not load to OLC,11-008-X19860041347,
primary123085,"The decline in employment among men aged 55 to 64, 1975 to 1985",article11-008-x19860041342_12,,Do not load to OLC,11-008-X19860041342,
primary123110,Women in male-dominated professions,article11-008-x19870031334_12,,Do not load to OLC,11-008-X19870031334,
primary123197,Co-operative housing: A third tenure form,article11-008-x19890041256_12,,Do not load to OLC,11-008-X19890041256,
primary123312,Educational Achievement: an international comparison,article11-008-x19930021290_12,,Do not load to OLC,11-008-X19930021290,
primary123277,Absenteeism at work,article11-008-x19920011388_12,,Do not load to OLC,11-008-X19920011388,
